lemma	iztočnica	besedna vrsta	številka pomena	indikator
driska	driska	samostalnik	2	tekoče blato
driska	driska	samostalnik	3	žaljivka
driska	driska	samostalnik	4	o situaciji ali dogajanju
hinavski	hinavski	pridevnik	1	o človeku
hinavski	hinavski	pridevnik	2	kar se zdi nenevarno
kolosej	kolosej	samostalnik	1	zgradba
ravnik	ravnik	samostalnik	1	ravno površje
ravnik	ravnik	samostalnik	2	ekvator
priklon	priklon	samostalnik	1	o nagibu telesa
priklon	priklon	samostalnik	2	o pohvali
spužva	spužva	samostalnik	1	morski organizem
spužva	spužva	samostalnik	2	pripomoček za umivanje
spužva	spužva	samostalnik	3	o človeku
krinolina	krinolina	samostalnik	1	oblačilo
krinolina	krinolina	samostalnik	2	ogrodje pod krilom
livrej	livreja	samostalnik	1	uniforma
livrej	livreja	samostalnik	2	o dizajnu in barvah
tog	toga	samostalnik	1	uradno oblačilo
tog	toga	samostalnik	2	antično oblačilo
plastično	plastično	prislov	1	nazorno
plastičen	plastično	prislov	2	o videzu
hlačke	hlačke	samostalnik	1	žensko spodnje perilo
hlačka	hlačke	samostalnik	2	kratke hlače
hlačka	hlačke	samostalnik	3	otroško spodnje perilo
sečnica	sečnica	samostalnik	1	del sečil
sečnica	sečnica	samostalnik	2	premica
peča	peča	samostalnik	1	tradicionalno žensko pokrivalo
peča	peča	samostalnik	2	del trebušne mrene
presadek	presadek	samostalnik	1	pri presaditvi
kvadriceps	kvadriceps	samostalnik	1	mišica
dimelj	dimlje	samostalnik	1	del telesa
petelinček	petelinček	samostalnik	1	manjši petelin
petelinček	petelinček	samostalnik	2	predmet
petelinček	petelinček	samostalnik	3	napihnjen človek
petelinček	petelinček	samostalnik	4	metulj
petelinček	petelinček	samostalnik	5	cvetlica
petelinček	petelinček	samostalnik	6	športna igra
petelinček	petelinček	samostalnik	7	o zavezovanju peče
petelinček	petelinček	samostalnik	8	frizura
griža	griža	samostalnik	1	črevesna bolezen
griža	griža	samostalnik	2	siten človek
limonada	limonada	samostalnik	1	pijača
limonada	limonada	samostalnik	2	televizijska nadaljevanka
limonada	limonada	samostalnik	3	kar je vsebinsko prazno
telegraf	telegraf	samostalnik	1	naprava
telegraf	telegraf	samostalnik	2	urad
dvanajsterec	dvanajsterec	samostalnik	1	geometrijsko telo
dvanajsterec	dvanajsterec	samostalnik	2	verz
štručka	štručka	samostalnik	1	pekovsko pecivo
štručka	štručka	samostalnik	2	dojenček
začaran	začaran	pridevnik	1	pod vplivom čarobnega uroka
začaran	začaran	pridevnik	2	očaran; prevzet;
začaran	začaran	pridevnik	3	čarobno lep
začaran	začaran	pridevnik	4	neugoden
začaran	začaran	pridevnik	5	o brezizhodnosti
pisnit	pisniti	glagol	1	izdati informacijo
pisnit	pisniti	glagol	2	izpustiti zvok
pijanček	pijanček	samostalnik	1	kdor rad popiva
plinar	plinar	samostalnik	1	igralec Geoplina Slovana
plinar	plinar	samostalnik	2	podjetje
plinar	plinar	samostalnik	3	delavec v plinarni
dingo	dingo	samostalnik	1	žival
nezavesten	nezavesten	pridevnik	1	v nezavesti
nezavesten	nezavesten	pridevnik	2	nezaveden; nenameren;
nezavesten	nezavesten	pridevnik	3	nezavestna oseba
piranha	piranha	samostalnik	1	riba
kovanec	kovanec	samostalnik	1	kovan denar
svetovalec	svetovalec	samostalnik	1	poklic
dvojček	dvojček	samostalnik	1	otrok
dvojček	dvojček	samostalnik	2	astrološko znamenje
dvojček	dvojček	samostalnik	3	hiša
dvojček	dvojček	samostalnik	4	nebotičnik
dvojček	dvojček	samostalnik	5	telekomunikacijski paket
dvojček	dvojček	samostalnik	6	v košarki
dvojček	dvojček	samostalnik	7	dve povezani zadevi
dvojček	dvojček	samostalnik	8	o podobnosti nečesa
dvojček	dvojček	samostalnik	9	o kristalu
dvojček	dvojček	samostalnik	10	o telefonski liniji
funkcionalen	funkcionalen	pridevnik	1	uporaben
funkcionalen	funkcionalen	pridevnik	2	o delovanju organizma
funkcionalen	funkcionalen	pridevnik	3	delujoč
opazovati	opazovati	glagol	1	gledati
opazovati	opazovati	glagol	2	spremljati potek ali razvoj
bik	bik	samostalnik	1	žival
bik	bik	samostalnik	2	astrološko znamenje
bik	bik	samostalnik	3	neumen človek
bik	bik	samostalnik	4	veliko zvišanje tečajev
pristanišče	pristanišče	samostalnik	1	luka
pristanišče	pristanišče	samostalnik	2	letališče
obala	obala	samostalnik	1	pas zemlje ob vodi
plešast	plešast	pridevnik	1	brez las
plešast	plešast	pridevnik	2	o površini
prehlad	prehlad	samostalnik	1	bolezen
prehlad	prehlad	samostalnik	2	v botaniki
priseljenec	priseljenec	samostalnik	1	imigrant
prognoza	prognoza	samostalnik	1	napoved
prognoza	prognoza	samostalnik	2	v medicini
sir	sir	samostalnik	1	mlečni izdelek
sir	sir	samostalnik	2	angleški plemiški naziv
stereotip	stereotip	samostalnik	1	o vnaprejšnji sodbi
stereotip	stereotip	samostalnik	2	o osebi
stereotip	stereotip	samostalnik	3	tiskovna forma
škof	škof	samostalnik	1	cerkveni dostojanstvenik
terorist	terorist	samostalnik	1	politični skrajnež
terorist	terorist	samostalnik	2	ustrahovalec
trening	trening	samostalnik	1	o športu
