lemma	iztočnica	besedna vrsta	številka pomena	indikator
antiklinala	antiklinala	samostalnik	1	izbočeni del površja
antikvar	antikvar	samostalnik	1	trgovec
asignant	asignant	samostalnik	1	nakazovalec
zadružnica	zadružnica	samostalnik	1	članica zadruge
zib	zib	samostalnik	1	premik sem in tja
živobarvnost	živobarvnost	samostalnik	1	o barvah
živobarvnost	živobarvnost	samostalnik	2	o pestrosti
žlebak	žlebak	samostalnik	1	žlebasta strešna opeka
zobovina	zobovina	samostalnik	1	osrednje zobno tkivo
zvalnik	zvalnik	samostalnik	1	sklon
žvečilec	žvečilec	samostalnik	1	oseba, ki žveči
žvečilec	žvečilec	samostalnik	2	žvečilni gumi
anemona	anemona	samostalnik	1	rastlina
antikviteta	antikviteta	samostalnik	1	starinski predmet
dremanje	dremanje	samostalnik	1	kratko spanje
apnenč	apnenčev	pridevnik	1	o apnencu
abdomen	abdomen	samostalnik	1	del telesa
abdomen	abdomen	samostalnik	2	pri žuželkah
definicija	definicija	samostalnik	1	razlaga; opredelitev;
definicija	definicija	samostalnik	2	določitev parametrov
definicija	definicija	samostalnik	3	ločljivost
deložacija	deložacija	samostalnik	1	prisilna izselitev
dežnik	dežnik	samostalnik	1	kot zaščita pred dežjem
dežnik	dežnik	samostalnik	2	senčnik
dežnik	dežnik	samostalnik	3	obrambni sistem
dežnik	dežnik	samostalnik	4	okrilje
dežnik	dežnik	samostalnik	5	skupni pojem
dežnik	dežnik	samostalnik	6	goba
diplomant	diplomant	samostalnik	1	kdor zaključi študij
dvoumnost	dvoumnost	samostalnik	1	nejasnost
dvoumnost	dvoumnost	samostalnik	2	dvoličnost
emigracija	emigracija	samostalnik	1	izseljevanje
emigracija	emigracija	samostalnik	2	življenje v tujini
emigracija	emigracija	samostalnik	3	izseljenci
ekolog	ekolog	samostalnik	1	strokovnjak
grafika	grafik	samostalnik	1	izdelovalec grafik
jopica	jopica	samostalnik	1	oblačilo
karikatura	karikatura	samostalnik	1	komična risba
karikatura	karikatura	samostalnik	2	dejavnost
karikatura	karikatura	samostalnik	3	popačena različica
katakomba	katakombe	samostalnik	1	podzemno pokopališče
kaviar	kaviar	samostalnik	1	jed
kozmetika	kozmetika	samostalnik	1	izdelki
kozmetika	kozmetika	samostalnik	2	dejavnost
kripta	kripta	samostalnik	1	grobnica
kurzor	kurzor	samostalnik	1	kazalec na zaslonu
šivilja	šivilja	samostalnik	1	ženska, ki šiva oblačila
trenirka	trenirka	samostalnik	1	oblačilo
trener	trener	samostalnik	1	kdor trenira športnike
uhan	uhan	samostalnik	1	nakit
urednik	urednik	samostalnik	1	urejevalec besedil
večerja	večerja	samostalnik	1	obrok hrane
večerja	večerja	samostalnik	2	dogodek
zaliv	zaliv	samostalnik	1	del morja ali jezera
zborovodja	zborovodja	samostalnik	1	vodja pevskega zbora
arijanizem	arijanizem	samostalnik	1	krščanski nauk
jogging	jogging	samostalnik	1	lahkoten tek
jockey	jockey	samostalnik	1	jahač
hertz	hertz	samostalnik	1	merska enota
cikorija	cikorija	samostalnik	1	rastlina
cikorija	cikorija	samostalnik	2	kavni nadomestek
frufru	frufru	samostalnik	1	frizura
majorka	majorka	samostalnik	1	vojaški čin
martina	martini	samostalnik	1	alkoholna pijača
maslenica	maslenica	samostalnik	1	rastlina
farmar	farmar	samostalnik	1	lastnik farme
jazzist	jazzist	samostalnik	1	glasbenik
jeklarstvo	jeklarstvo	samostalnik	1	gospodarska panoga
komunikologija	komunikologija	samostalnik	1	veda o komunikacijskih sredstvih
kortizol	kortizol	samostalnik	1	hormon
džezist	džezist	samostalnik	1	glasbenik
hidrokortizon	hidrokortizon	samostalnik	1	hormon
apreciacija	apreciacija	samostalnik	1	večanje vrednosti valute
baptisterij	baptisterij	samostalnik	1	krstilnica
baptisterij	baptisterij	samostalnik	2	antični bazen s toplo vodo
frazeologija	frazeologija	samostalnik	1	veda
administratorka	administratorka	samostalnik	1	uslužbenka v pisarni
administratorka	administratorka	samostalnik	2	skrbnica spletne strani
dobropis	dobropis	samostalnik	1	o vračilu denarja
finančnica	finančnica	samostalnik	1	strokovnjakinja
font	font	samostalnik	1	pisava
frizerstvo	frizerstvo	samostalnik	1	frizerska dejavnost
generalpodpolkovnik	generalpodpolkovnik	samostalnik	1	čin
sikho	sikh	samostalnik	1	pripadnik sikhovske religije
podprsnica	podprsnica	samostalnik	1	jermen
žerek	žerka	samostalnik	1	ličinka
bajaničar	bajaničar	samostalnik	1	iskalec stvari
jabolčnik	jabolčnik	samostalnik	1	pijača
divjačina	divjačina	samostalnik	1	meso
divjačina	divjačina	samostalnik	2	divje živali
ekstremizem	ekstremizem	samostalnik	1	fanatizem
ekstremizem	ekstremizem	samostalnik	2	v športu
stegnenica	stegnenica	samostalnik	1	kost
toast	toast	samostalnik	1	vrsta kruha
zgodovinar	zgodovinar	samostalnik	1	strokovnjak
župan	župan	samostalnik	1	vodja mestne uprave
pozavnistek	pozavnistka	samostalnik	1	glasbenica
lutnjark	lutnjarka	samostalnik	1	glasbenica
lokovanje	lokovanje	samostalnik	1	pri godalih
napoleondor	napoleondor	samostalnik	1	francoski zlatnik
trombonistek	trombonistka	samostalnik	1	glasbenica
hiperen	hipernim	samostalnik	1	o pomenu besede
slovaropisje	slovaropisje	samostalnik	1	znanstvena dejavnost
kromiranje	kromiranje	samostalnik	1	kemijski postopek
šestkotnik	šestkotnik	samostalnik	1	geometrijski lik
gostiščnica	gostiščnica	samostalnik	1	najpogostejša vrednost
kostumografinja	kostumografinja	samostalnik	1	strokovnjakinja za oblačila
operand	operand	samostalnik	1	število v matematični operaciji
trilček	trilček	samostalnik	1	pojav v skladbi
krekiranje	krekiranje	samostalnik	1	kemijski postopek
leksikologij	leksikologija	samostalnik	1	veda
libretistek	libretistka	samostalnik	1	piska libreta
pastavek	pastavek	samostalnik	1	vrsta stavka
podpomenek	podpomenka	samostalnik	1	o pomenu besede
medpon	medpona	samostalnik	1	del besede
mimezis	mimezis	samostalnik	1	o posnemanju stvarnosti
marakas	marakas	samostalnik	1	tolkalo
odštevanec	odštevanec	samostalnik	1	število, ki se odšteva
protipomenka	protipomenka	samostalnik	1	o pomenu besede
kognicija	kognicija	samostalnik	1	spoznavanje; dojemanje;
tritonus	tritonus	samostalnik	1	o razdalji med tonoma
mehatronika	mehatronika	samostalnik	1	veda
špinet	špinet	samostalnik	1	glasbilo
kvintdec	kvintdecima	samostalnik	1	o razdalji med tonoma
lokativ	lokativ	samostalnik	1	sklon
septim	septima	samostalnik	1	o razdalji med tonoma
kreking	kreking	samostalnik	1	kemijski postopek
trasat	trasat	samostalnik	1	izdajatelj menice
nadpomenka	nadpomenka	samostalnik	1	o pomenu besede
homofonija	homofonija	samostalnik	1	večglasje
komponistka	komponistka	samostalnik	1	umetnica
saksofonistek	saksofonistka	samostalnik	1	glasbenica
razvezaj	razvezaj	samostalnik	1	glasbeni znak
komutativnost	komutativnost	samostalnik	1	o matematični operaciji
narator	narator	samostalnik	1	pripovedovalec; bralec spremnega teksta;
zaklepišče	zaklepišče	samostalnik	1	del strelnega orožja
maniok	manioka	samostalnik	1	rastlina
dež	dež	samostalnik	1	padavine
dež	dež	samostalnik	2	velika količina
dijak	dijak	samostalnik	1	srednješolec
elektrarna	elektrarna	samostalnik	1	objekt za proizvodnjo elektrike
kavč	kavč	samostalnik	1	kos pohištva
kavč	kavč	samostalnik	2	pri psihiatru
stevardesa	stevardesa	samostalnik	1	uslužbenka na letalu
vulkan	vulkan	samostalnik	1	gora, iz katere prodira lava
vulkan	vulkan	samostalnik	2	nekaj silovitega
džez	džez	samostalnik	1	glasbena zvrst
jazz	jazz	samostalnik	1	glasbena zvrst
kenguru	kenguru	samostalnik	1	vrečar
kenguru	kenguru	samostalnik	2	za dojenčka
kenguru	kenguru	samostalnik	3	Avstralec
košarka	košarka	samostalnik	1	šport
košarka	košarka	samostalnik	2	način igranja
aneroid	aneroid	samostalnik	1	merilni instrument
filc	filc	samostalnik	1	blago
filolog	filolog	samostalnik	1	strokovnjak
depreciacija	depreciacija	samostalnik	1	razvrednotenje
žoga	žoga	samostalnik	1	športni rekvizit
žoga	žoga	samostalnik	2	podaja; udarec;
polst	polst	samostalnik	1	blago
cerkovnik	cerkovnik	samostalnik	1	oskrbnik cerkve
samozavedanje	samozavedanje	samostalnik	1	zavedanje samega sebe
carstvo	carstvo	samostalnik	1	dežela, v kateri vlada car
carstvo	carstvo	samostalnik	2	cesarstvo; imperij;
carstvo	carstvo	samostalnik	3	območje prevlade
degustator	degustator	samostalnik	1	pokuševalec
cinober	cinober	samostalnik	1	opečnato rdeča barva
cinober	cinober	samostalnik	2	rudnina
zdravilo	zdravilo	samostalnik	1	snov ali farmacevtski izdelek
zdravilo	zdravilo	samostalnik	2	kar izboljša stanje
maniok	maniok	samostalnik	1	rastlina
inkunabula	inkunabula	samostalnik	1	knjiga
kravl	kravl	samostalnik	1	pri plavanju
plamenišče	plamenišče	samostalnik	1	o temperaturi
aforizem	aforizem	samostalnik	1	literarna forma
aliteracija	aliteracija	samostalnik	1	pesniško sredstvo
katarakt	katarakt	samostalnik	1	brzica
množenec	množenec	samostalnik	1	število, ki se množi
azimut	azimut	samostalnik	1	o kotu
antisemitizem	antisemitizem	samostalnik	1	sovražen odnos do Judov
biosfera	biosfera	samostalnik	1	območje življenja na Zemlji
besedoslovje	besedoslovje	samostalnik	1	raziskovalno področje
stranka	stranka	samostalnik	1	politična organizacija
stranka	stranka	samostalnik	2	uporabnik storitev
stranka	stranka	samostalnik	3	stran v upravno-pravnih postopkih
juha	juha	samostalnik	1	jed
kukavica	kukavica	samostalnik	1	ptica
kukavica	kukavica	samostalnik	2	rastlina
kukavica	kukavica	samostalnik	3	o uri
vizum	vizum	samostalnik	1	dokument
rogistek	rogistka	samostalnik	1	glasbenica
tekstualnost	tekstualnost	samostalnik	1	lastnost besedila
rogist	rogist	samostalnik	1	glasbenik
sfalerit	sfalerit	samostalnik	1	rudnina
dražba	dražba	samostalnik	1	javna prodaja blaga
klient	klient	samostalnik	1	stranka
klient	klient	samostalnik	2	v sodnih postopkih
klient	klient	samostalnik	3	program
slepič	slepič	samostalnik	1	organ
jajčnik	jajčnik	samostalnik	1	spolni organ
jajčnik	jajčnik	samostalnik	2	jed
duda	duda	samostalnik	1	pripomoček za dojenčka
duda	duda	samostalnik	2	za pitje
plesalec	plesalec	samostalnik	1	kdor pleše
ragbi	ragbi	samostalnik	1	šport
hiperpovezava	hiperpovezava	samostalnik	1	povezava do spletne strani
čarter	čarter	samostalnik	1	najet letalski ali ladijski prevoz
žolčnik	žolčnik	samostalnik	1	organ
želelnik	želelnik	samostalnik	1	glagolski naklon
fototeka	fototeka	samostalnik	1	zbirka fotografij
dokumentalist	dokumentalist	samostalnik	1	skrbnik za dokumentacijo
trpnik	trpnik	samostalnik	1	glagolski način
ažio	ažio	samostalnik	1	pribitek
denarnica	denarnica	samostalnik	1	torbica za denar
denarnica	denarnica	samostalnik	2	količina denarja; premoženje;
zemljanka	zemljanka	samostalnik	1	ženska
zemljanka	zemljanka	samostalnik	2	hiša
pogačica	pogačica	samostalnik	1	kost
pogačica	pogačica	samostalnik	2	jed
pogačica	pogačica	samostalnik	3	rastlina
joga	jogi	samostalnik	1	vzmetnica
joga	jogi	samostalnik	2	mojster joge
trepalnica	trepalnica	samostalnik	1	dlaka
angelika	angelika	samostalnik	1	rastlina
centil	centil	samostalnik	1	statistična merska enota
agorafobij	agorafobija	samostalnik	1	strah pred odprtimi prostori
akolit	akolit	samostalnik	1	mašni pomočnik
akutnost	akutnost	samostalnik	1	o bolezni
akutnost	akutnost	samostalnik	2	resnost; težavnost;
izvleček	izvleček	samostalnik	1	pridobljena snov; ekstrakt;
izvleček	izvleček	samostalnik	2	del besedila; izpisek;
izvleček	izvleček	samostalnik	3	priredba
lajnar	lajnar	samostalnik	1	glasbenik
mormon	mormon	samostalnik	1	pripadnik verske skupnosti
mormon	mormon	samostalnik	2	morska ptica
nadjaz	nadjaz	samostalnik	1	o ponotranjenih normah
najemnica	najemnica	samostalnik	1	ženska, ki kaj najame
najemnica	najemnica	samostalnik	2	organizacija
pajkica	pajkice	samostalnik	1	oblačilo
panker	panker	samostalnik	1	glasbenik
panker	panker	samostalnik	2	ljubitelj punk glasbe
pelerina	pelerina	samostalnik	1	dežno oblačilo
pelerina	pelerina	samostalnik	2	vrhnje oblačilo
perjad	perjad	samostalnik	1	večje domače ali divje ptice
pianino	pianino	samostalnik	1	glasbilo
pihalec	pihalec	samostalnik	1	glasbenik
pihalec	pihalec	samostalnik	2	steklopihač
plet	plet	samostalnik	1	ogrinjalo
počitnikar	počitnikar	samostalnik	1	dopustnik
počitnikar	počitnikar	samostalnik	2	kdor ima šolske počitnice
scenografka	scenografka	samostalnik	1	oblikovalka scene
debater	debater	samostalnik	1	človek, ki se ukvarja z debatiranjem
debater	debater	samostalnik	2	razpravljavec
jestvin	jestvina	samostalnik	1	prehrambeni izdelek
juta	juta	samostalnik	1	material
kahlica	kahlica	samostalnik	1	otroško stranišče
scenografinja	scenografinja	samostalnik	1	oblikovalka scene
ambrozija	ambrozija	samostalnik	1	rod cvetnic
ambrozija	ambrozija	samostalnik	2	hrana bogov
hornistka	hornistka	samostalnik	1	glasbenica
fagotistek	fagotistka	samostalnik	1	glasbenica
klarinetistek	klarinetistka	samostalnik	1	glasbenica
muzikologinj	muzikologinja	samostalnik	1	strokovnjakinja
enakozvočnica	enakozvočnica	samostalnik	1	o zvoku besede
živina	živina	samostalnik	1	govedo
živina	živina	samostalnik	2	pomemben človek
navijalka	navijalka	samostalnik	1	pripomoček za lase
pastorka	pastorka	samostalnik	1	hči partnerja
pastorka	pastorka	samostalnik	2	kar je zapostavljeno
pastorka	pastorka	samostalnik	3	duhovnica
pomfrit	pomfrit	samostalnik	1	jed
simptomatičen	simptomatičen	pridevnik	1	značilen
simptomatičen	simptomatičen	pridevnik	2	glede na simptome
varčevalec	varčevalec	samostalnik	1	oseba, ki varčuje
sintaksa	sintaksa	samostalnik	1	o jezikovnem sistemu
sintaksa	sintaksa	samostalnik	2	o programskih jezikih
sintaksa	sintaksa	samostalnik	3	o umetniških stvaritvah
sklicatelj	sklicatelj	samostalnik	1	pobudnik; organizator;
slabič	slabič	samostalnik	1	psihično šibka oseba
slabič	slabič	samostalnik	2	o fizični zmogljivosti
blokflavt	blokflavta	samostalnik	1	pihalo
blokflavta	blokflavta	samostalnik	2	igranje blokflavte
analognost	analognost	samostalnik	1	o podatkih
analognost	analognost	samostalnik	2	podobnost
babura	babura	samostalnik	1	ženska
babura	babura	samostalnik	2	vrsta paprike
arzenov	arzenov	pridevnik	1	o arzenu
anketar	anketar	samostalnik	1	kdor anketira
ragu	ragu	samostalnik	1	jed
nuklearka	nuklearka	samostalnik	1	vrsta elektroenergetskega objekta
koplanarnost	koplanarnost	samostalnik	1	geometrijska značilnost
bižuterij	bižuterija	samostalnik	1	cenen nakit
bižuterij	bižuterija	samostalnik	2	trgovina
oboistka	oboistka	samostalnik	1	glasbenica
šepetalka	šepetalka	samostalnik	1	funkcija v gledališču
oboist	oboist	samostalnik	1	glasbenik
sukulenta	sukulenta	samostalnik	1	rastlina
bantam	bantam	samostalnik	1	borilna veščina
bantam	bantam	samostalnik	2	pasma kokoši
akut	akut	samostalnik	1	naglasno znamenje
kašmir	kašmir	samostalnik	1	tkanina
ostrivec	ostrivec	samostalnik	1	naglasno znamenje
dvoglasnik	dvoglasnik	samostalnik	1	glasovna enota
dialektologija	dialektologija	samostalnik	1	veda
glagolnik	glagolnik	samostalnik	1	glagolska oblika
klarinetist	klarinetist	samostalnik	1	glasbenik
eksosfera	eksosfera	samostalnik	1	zunanja plast atmosfere
anglikanec	anglikanec	samostalnik	1	pripadnik anglikanske vere
anglikanka	anglikanka	samostalnik	1	pripadnica anglikanske vere
biografinja	biografinja	samostalnik	1	avtorica biografij
narečjeslovje	narečjeslovje	samostalnik	1	veda
gerundij	gerundij	samostalnik	1	glagolska oblika
diftong	diftong	samostalnik	1	glasovna enota
harmonij	harmonij	samostalnik	1	glasbilo
gokart	gokart	samostalnik	1	majhen dirkalni avto
gokart	gokart	samostalnik	2	dirkanje z majhnimi avti
modrček	modrček	samostalnik	1	žensko spodnje perilo
abdominalen	abdominalen	pridevnik	1	trebušen
življenjepisen	življenjepisen	pridevnik	1	o življenjepisu
veterinar	veterinar	samostalnik	1	zdravnik za živali
zborovodkinja	zborovodkinja	samostalnik	1	vodja pevskega zbora
živilo	živilo	samostalnik	1	prehrambeni izdelek
župnik	župnik	samostalnik	1	predstojnik cerkvene skupnosti
sfinga	sfinga	samostalnik	1	kip
sfinga	sfinga	samostalnik	2	egipčansko bajeslovno bitje
sfinga	sfinga	samostalnik	3	grško bajeslovno bitje
sfinga	sfinga	samostalnik	4	vrsta mačke
skepticizem	skepticizem	samostalnik	1	dvom
skepticizem	skepticizem	samostalnik	2	skepsa
špecerist	špecerist	samostalnik	1	trgovec
obritoglavec	obritoglavec	samostalnik	1	pripadnik subkulture
življenjepisec	življenjepisec	samostalnik	1	avtor življenjepisov
osnovnik	osnovnik	samostalnik	1	oblika pridevnika ali prislova
sedemdesetletnica	sedemdesetletnica	samostalnik	1	sedemdeseta obletnica
sedemdesetletnica	sedemdesetletnica	samostalnik	2	sedemdesetletna ženska
sedemdesetletnica	sedemdesetletnica	samostalnik	3	ženska, stara med 70 in 79 let
mežnar	mežnar	samostalnik	1	oskrbnik cerkve
violončelistka	violončelistka	samostalnik	1	glasbenica
anglist	anglist	samostalnik	1	strokovnjak
anglistka	anglistka	samostalnik	1	strokovnjakinja
čekan	čekan	samostalnik	1	zob pri živalih
čekan	čekan	samostalnik	2	podaljšani podočniki pri živalih
želodec	želodec	samostalnik	1	organ
želodec	želodec	samostalnik	2	jed
želodec	želodec	samostalnik	3	o ljudeh
žuborenje	žuborenje	samostalnik	1	o vodi
žuborenje	žuborenje	samostalnik	2	o neizrazitih glasovih
ječar	ječar	samostalnik	1	paznik v zaporu
komponist	komponist	samostalnik	1	umetnik
ameba	ameba	samostalnik	1	enoceličar
antisemit	antisemit	samostalnik	1	privrženec antisemitizma
anemometer	anemometer	samostalnik	1	merilni instrument
avtoštopar	avtoštopar	samostalnik	1	o zastonj prevozu
bahač	bahač	samostalnik	1	kdor se baha
bakteriolog	bakteriolog	samostalnik	1	strokovnjak
banjo	banjo	samostalnik	1	brenkalo
binkošti	binkošti	samostalnik	1	krščanski praznik
birmanec	birmanec	samostalnik	1	kdor prejme birmo
brzinomer	brzinomer	samostalnik	1	merilna naprava
čeljustnica	čeljustnica	samostalnik	1	kost
debet	debet	samostalnik	1	dolg
dekodirnik	dekodirnik	samostalnik	1	naprava za dekodiranje
derač	derač	samostalnik	1	zob
diadem	diadem	samostalnik	1	naglavni obroč ali trak
habit	habit	samostalnik	1	oblačilo
čudnost	čudnost	samostalnik	1	nenavadnost
bukolika	bukolika	samostalnik	1	pastirska poezija
bordun	bordun	samostalnik	1	spremljevalni ton
anafora	anafora	samostalnik	1	besedna figura
čelesta	čelesta	samostalnik	1	glasbilo
atonalnost	atonalnost	samostalnik	1	o tonskem načinu
cinabarit	cinabarit	samostalnik	1	rudnina
bendžo	bendžo	samostalnik	1	brenkalo
abstinentka	abstinentka	samostalnik	1	ženska, ki ne pije alkohola
adrema	adrema	samostalnik	1	seznam naslovnikov z naslovi
adular	adular	samostalnik	1	rudnina
alkalnost	alkalnost	samostalnik	1	lastnost snovi
avtostopar	avtostopar	samostalnik	1	o zastonj prevozu
celesta	celesta	samostalnik	1	glasbilo
levkocit	levkocit	samostalnik	1	krvna celica
večzložnica	večzložnica	samostalnik	1	o besedi
albin	albin	samostalnik	1	o pomanjkanju pigmenta
armafleks	armafleks	samostalnik	1	ležalna podloga
akvedukt	akvedukt	samostalnik	1	objekt za pretok vode
plezalka	plezalka	samostalnik	1	športnica
plezalka	plezalka	samostalnik	2	žival
plezalka	plezalka	samostalnik	3	rastlina
plezalka	plezalka	samostalnik	4	športna obutev
čembalist	čembalist	samostalnik	1	glasbenik
epigrafika	epigrafika	samostalnik	1	veda
dodekaeder	dodekaeder	samostalnik	1	geometrijsko telo
impresionistka	impresionistka	samostalnik	1	predstavnica impresionizma
lizingodajalec	lizingodajalec	samostalnik	1	kdor daje lizing
okoljevarstvo	okoljevarstvo	samostalnik	1	skrb za okolje
harfistka	harfistka	samostalnik	1	glasbenica
dirigentka	dirigentka	samostalnik	1	vodja orkestra
dirigentka	dirigentka	samostalnik	2	vodja
glikogen	glikogen	samostalnik	1	polisaharid
kitaristka	kitaristka	samostalnik	1	glasbenica
dialektolog	dialektolog	samostalnik	1	strokovnjak
medbesedilnost	medbesedilnost	samostalnik	1	lastnost besedila
ikozaeder	ikozaeder	samostalnik	1	geometrijski lik
intertekstualnost	intertekstualnost	samostalnik	1	lastnost besedila
čembalistek	čembalistka	samostalnik	1	glasbenica
kalvinist	kalvinist	samostalnik	1	pripadnik kalvinizma
dvojemek	dvojemka	samostalnik	1	prijem
lizingojemalec	lizingojemalec	samostalnik	1	kdor dobi lizing
ceremoniar	ceremoniar	samostalnik	1	vodja slavnosti ali obredov
oplesk	oplesk	samostalnik	1	o barvnem nanosu
nadpovezava	nadpovezava	samostalnik	1	povezava do spletne strani
sopomenkati	sopomenka	samostalnik	1	o pomenu besede
violist	violist	samostalnik	1	glasbenik
violistek	violistka	samostalnik	1	glasbenica
votlak	votlak	samostalnik	1	vrsta opeke
traper	traper	samostalnik	1	lovec, ki lovi s pastmi
tvornik	tvornik	samostalnik	1	glagolski način
žongler	žongler	samostalnik	1	umetnik metanja predmetov
žongler	žongler	samostalnik	2	o spretnem ravnanju
kotalek	kotalka	samostalnik	1	športna obutev
entomolog	entomolog	samostalnik	1	strokovnjak
faktorizirati	faktorizirati	glagol	1	o postopku pretvorbe
apniteti	apniti	glagol	1	o zemlji
abstrahirati	abstrahirati	glagol	1	povzeti
abstrahirati	abstrahirati	glagol	2	izločiti
abstrahirati	abstrahirati	glagol	3	o abstraktnem prikazu
alternirati	alternirati	glagol	1	izmenjavati; izmenjavati se;
armirati	armirati	glagol	1	ojačati
abortirati	abortirati	glagol	1	splaviti
abortirati	abortirati	glagol	2	ustaviti; prekiniti;
amnestirati	amnestirati	glagol	1	podeliti amnestijo
dezertirati	dezertirati	glagol	1	zapustiti vojsko brez dovoljenja
aromatizirati	aromatizirati	glagol	1	dati aromo
cenzurirati	cenzurirati	glagol	1	odstranjevati sporne vsebine
cenzurirati	cenzurirati	glagol	2	omejevati dejanja ali izjave
demonstrirati	demonstrirati	glagol	1	protestirati
demonstrirati	demonstrirati	glagol	2	prikazati
deževati	deževati	glagol	1	o dežju
deževati	deževati	glagol	2	o predmetih
deževati	deževati	glagol	3	zgrinjati se
diplomirati	diplomirati	glagol	1	zaključiti študij
diskreditirati	diskreditirati	glagol	1	zmanjšati ugled
diskreditirati	diskreditirati	glagol	2	vzeti veljavo
degradirati	degradirati	glagol	1	znižati veljavo
degradirati	degradirati	glagol	2	o položaju ali delovnem mestu
degradirati	degradirati	glagol	3	prizadejati škodo
hirati	hirati	glagol	1	postajati slaboten
hirati	hirati	glagol	2	propadati
kamenjata	kamenjati	glagol	1	obmetavati s kamni
kašljati	kašljati	glagol	1	o človeku
kašljati	kašljati	glagol	2	o vozilih in motorjih
večerjati	večerjati	glagol	1	jesti večerjo
zanositi	zanositi	glagol	1	o ženski
filozofirati	filozofirati	glagol	1	razglabljati kot filozof
filozofirati	filozofirati	glagol	2	dolgoveziti
pordečiti	pordečiti	glagol	1	obarvati z rdečo
racionirati	racionirati	glagol	1	deliti v omejenih količinah
kavdrata	kavdrati	glagol	1	o oglašanju
prevajati	prevajati	glagol	1	o jezikih
prevajati	prevajati	glagol	2	prenašati energijo
prevajati	prevajati	glagol	3	prenašati dražljaje
prevajati	prevajati	glagol	4	o kodi
prevajati	prevajati	glagol	5	pretvoriti v drugačno obliko
zahupati	zahupati	glagol	1	potrobiti
jecljati	jecljati	glagol	1	o govorni napaki
jecljati	jecljati	glagol	2	nejasno izražati se
zmnožiti	zmnožiti	glagol	1	pri računanju
anulirati	anulirati	glagol	1	razveljaviti; preklicati;
anulirati	anulirati	glagol	2	izničiti
izjecljati	izjecljati	glagol	1	jecljaje povedati
kršiti	kršiti	glagol	1	o neupoštevanju pravil
uročiti	uročiti	glagol	1	začarati z magijo
uročiti	uročiti	glagol	2	očarati; prevzeti;
uročiti	uročiti	glagol	3	prinesti nesrečo
kovati	kovati	glagol	1	načrtovati
kovati	kovati	glagol	2	ustvarjati
kovati	kovati	glagol	3	pisati; oblikovati;
kovati	kovati	glagol	4	izdelovati iz kovine
maltretirati	maltretirati	glagol	1	grdo ravnati z; trpinčiti;
nabost	nabosti	glagol	1	natakniti; napičiti;
nabost	nabosti	glagol	2	narediti več vbodov
nabost	nabosti	glagol	3	zapičiti; vstaviti;
nahruliti	nahruliti	glagol	1	nadreti; ostro ošteti;
paralizirati	paralizirati	glagol	1	ohromiti
paralizirati	paralizirati	glagol	2	ustaviti; onemogočati;
dlakocepiti	dlakocepiti	glagol	1	po nepotrebnem komplicirati
vcepiti	vcepiti	glagol	1	vsaditi v zavest; privzgojiti;
vcepiti	vcepiti	glagol	2	vnesti v organizem
vcepiti	vcepiti	glagol	3	narediti, da ima kaj določeno lastnost
vcepiti	vcepiti	glagol	4	vstaviti cepič v rastlino
nabasati	nabasati	glagol	1	natrpati
nabasati	nabasati	glagol	2	naleteti
sitnarita	sitnariti	glagol	1	nergati
sitnarita	sitnariti	glagol	2	zahtevati; gnjaviti;
aproksimirati	aproksimirati	glagol	1	približno oceniti
anestezirati	anestezirati	glagol	1	dati anestezijo
anestezirati	anestezirati	glagol	2	narediti neobčutljivo
sestankovati	sestankovati	glagol	1	imeti sestanek
zaarati	zaarati	glagol	1	plačati predujem
sponzorirati	sponzorirati	glagol	1	finančno podpirati
vlomiti	vlomiti	glagol	1	na silo vstopiti
zveneti	zveneti	glagol	1	zdeti se
zveneti	zveneti	glagol	2	oddajati zvok
demoralizirati	demoralizirati	glagol	1	odvzeti upanje
adsorbirati	adsorbirati	glagol	1	zgoščevati
groziti	groziti	glagol	1	o ljudeh ali nasprotnikih
groziti	groziti	glagol	2	o nesrečah ali katastrofah
poveriti	poveriti	glagol	1	dodeliti nalogo
kolesariti	kolesariti	glagol	1	voziti se s kolesom
kotalkata	kotalkati	glagol	1	voziti se s kotalkami
rolkati	rolkati	glagol	1	voziti se z rolko
kegljati	kegljati	glagol	1	podirati keglje
geometrično	geometrično	prislov	1	o geometriji
dvoumno	dvoumno	prislov	1	nejasno
dvoumno	dvoumno	prislov	2	z mešanimi občutki
junaško	junaško	prislov	1	pogumno
korenito	korenito	prislov	1	temeljito; radikalno;
akustično	akustično	prislov	1	zvočno; slušno;
akustično	akustično	prislov	2	o igranju na akustični inštrument
analitično	analitično	prislov	1	podrobno
zaman	zaman	prislov	1	brez uspeha
zaman	zaman	prislov	2	brez razloga
konkavno	konkavno	prislov	1	vbočeno
jalovo	jalovo	prislov	1	brez pozitivnega rezultata
vestno	vestno	prislov	1	pridno; dosledno;
pošteno	pošteno	prislov	1	v veliki meri; precej;
pošteno	pošteno	prislov	2	moralno ustrezno
pesimistično	pesimistično	prislov	1	negativno
petdesetkrat	petdesetkrat	prislov	1	s petdesetimi ponovitvami
razburljivo	razburljivo	prislov	1	na vznemirljiv način
paralelno	paralelno	prislov	1	hkrati; sočasno;
paralelno	paralelno	prislov	2	vzporedno; drug ob drugem;
slovnično	slovnično	prislov	1	glede na slovnico
malokdaj	malokdaj	prislov	1	redko
znatno	znatno	prislov	1	precej
asimetrično	asimetrično	prislov	1	nesomerno
tipičen	tipično	prislov	1	na značilen način
