iztočnica|besedna vrsta|številka pomena|indikator
borovina|samostalnik|1|les
formaldehid|samostalnik|1|plin
formaldehid|samostalnik|2|raztopina
etin|samostalnik|1|ogljikovodik
žalovalka|samostalnik|1|ženska, ki žaluje
žalovalka|samostalnik|2|riba
acetilen|samostalnik|1|plin
kostanjev|pridevnik|1|o drevesu ali delu drevesa
kostanjev|pridevnik|2|v kulinariki
kostanjev|pridevnik|3|o barvi
kostanjev|pridevnik|4|o snovi
kenozoik|samostalnik|1|geološka doba
abscisa|samostalnik|1|koordinata
maltoza|samostalnik|1|sladni sladkor
mezozoik|samostalnik|1|geološka doba
anticiklon|samostalnik|1|območje visokega zračnega pritiska
paleozoik|samostalnik|1|geološka doba
prevrtač|samostalnik|1|golob
zalistje|samostalnik|1|del rastline
žirokompas|samostalnik|1|merilna naprava
baribal|samostalnik|1|medved
diabetes|samostalnik|1|sladkorna bolezen
eten|samostalnik|1|ogljikovodik
zanohtnica|samostalnik|1|gnojno vnetje
jesen|samostalnik|1|letni čas
jesen|samostalnik|2|obdobje glede na dogajanje
afrikanščina|samostalnik|1|jezik
paglavec|samostalnik|1|žival
paglavec|samostalnik|2|nagajiv otrok
pergola|samostalnik|1|zunanja konstrukcija
rakun|samostalnik|1|žival
svinčnica|samostalnik|1|merilni pripomoček
aga|samostalnik|1|turški uradniški naziv
aboridžin|samostalnik|1|avstralski staroselec
jastog|samostalnik|1|rak
jastog|samostalnik|2|jed
groblja|samostalnik|1|ledeniški nanos
glicerin|samostalnik|1|kemijska spojina
sepsa|samostalnik|1|bolezensko stanje
trobilka|samostalnik|1|mišica
trobilka|samostalnik|2|glasbenica
morena|samostalnik|1|ledeniški nanos
morena|samostalnik|2|morska riba
shizofrenik|samostalnik|1|duševni bolnik
shizofrenik|samostalnik|2|kdor ravna razdvojeno
senilen|pridevnik|1|o starostnih spremembah
triangel|samostalnik|1|glasbilo
triangel|samostalnik|2|skupina treh enot
triangel|samostalnik|3|krmilni del zmaja
glasbilo|samostalnik|1|priprava za izvajanje glasbe
pikolo|samostalnik|1|pihalo
klavir|samostalnik|1|glasbilo
klavir|samostalnik|2|igranje klavirja
abraziv|samostalnik|1|brusivo
aerostat|samostalnik|1|balon
akronim|samostalnik|1|kratica
bruceloza|samostalnik|1|bolezen
demograf|samostalnik|1|strokovnjak
antracit|samostalnik|1|premog
apnica|samostalnik|1|raztopina
akcelerometer|samostalnik|1|merilna naprava
areometer|samostalnik|1|merilni instrument
antipiretik|samostalnik|1|zdravilo
afazija|samostalnik|1|govorna motnja
ablativ|samostalnik|1|sklon
absces|samostalnik|1|ognojek
adenom|samostalnik|1|žlezna tvorba
adsorbent|samostalnik|1|snov
aeronavt|samostalnik|1|letalec
dietetik|samostalnik|1|strokovnjak
girokompas|samostalnik|1|merilna naprava
norka|samostalnik|1|kuna
bobrovka|samostalnik|1|glodavec
puma|samostalnik|1|velika mačka
karibu|samostalnik|1|jelen
detel|samostalnik|1|ptica
eland|samostalnik|1|kopenska žival
gnezdilka|samostalnik|1|ptica
iglica|samostalnik|1|riba
kragulj|samostalnik|1|ptica ujeda
pižmovka|samostalnik|1|glodavec
podhujka|samostalnik|1|ptica
nutrija|samostalnik|1|glodavec
mrhar|samostalnik|1|ptica ujeda
pike|samostalnik|1|rod zajcev
abortiv|samostalnik|1|sredstvo za prekinitev nosečnosti
škarpina|samostalnik|1|morska riba
bimetal|samostalnik|1|kovinski trak
kirij|samostalnik|1|kemijski element
alpinizem|samostalnik|1|o plezanju
atletika|samostalnik|1|šport
baseball|samostalnik|1|šport
bejzbol|samostalnik|1|šport
bodibilding|samostalnik|1|šport
bodybuilding|samostalnik|1|šport
bowling|samostalnik|1|športna igra
curling|samostalnik|1|športna igra
drsanje|samostalnik|1|športna aktivnost
gimnastika|samostalnik|1|šport
gimnastika|samostalnik|2|telovadba
golf|samostalnik|1|šport
golf|samostalnik|2|avto
karting|samostalnik|1|vožnja z gokarti
kegljanje|samostalnik|1|športna igra
kickboxing|samostalnik|1|borilni šport
kolesarstvo|samostalnik|1|vožnja s kolesom
kros|samostalnik|1|tek
kros|samostalnik|2|o drugih športih
motokros|samostalnik|1|šport
nogomet|samostalnik|1|šport
nogomet|samostalnik|2|način igranja
potapljanje|samostalnik|1|šport
potapljanje|samostalnik|2|spuščanje pod gladino
rugby|samostalnik|1|šport
sankanje|samostalnik|1|športna aktivnost
smuk|samostalnik|1|smučarska disciplina
taekwondo|samostalnik|1|borilna veščina
veslanje|samostalnik|1|športna aktivnost
alpinist|samostalnik|1|plezalec
alpinistka|samostalnik|1|plezalka
balonarka|samostalnik|1|pilotka balona
biatlonec|samostalnik|1|športnik
biatlonka|samostalnik|1|športnica
bodibilder|samostalnik|1|športnik
bodibilderka|samostalnik|1|športnica
bodybuilder|samostalnik|1|športnik
bodybuilderka|samostalnik|1|športnica
boksarka|samostalnik|1|športnica
drsalka|samostalnik|1|športna obutev
drsalka|samostalnik|2|športnica
džoger|samostalnik|1|rekreativni tekač
džogerka|samostalnik|1|rekreativna tekačica
gimnastičar|samostalnik|1|športnik
gimnastičarka|samostalnik|1|športnica
golfist|samostalnik|1|igralec golfa
golfistka|samostalnik|1|igralka golfa
gornica|samostalnik|1|alpinistka
jahač|samostalnik|1|športnik
jahač|samostalnik|2|otroški avtomobilski sedež
jahalec|samostalnik|1|športnik
jamar|samostalnik|1|raziskovalec jam
jamarka|samostalnik|1|raziskovalka jam
judoist|samostalnik|1|športnik
judoistka|samostalnik|1|športnica
kajakaš|samostalnik|1|športnik
kajakašica|samostalnik|1|športnica
kanuist|samostalnik|1|športnik
kanuistka|samostalnik|1|športnica
kasač|samostalnik|1|dirkalni konj
kasač|samostalnik|2|športnik
kickboksar|samostalnik|1|športnik
kickboksarka|samostalnik|1|športnica
kikboksar|samostalnik|1|športnik
kikboksarka|samostalnik|1|športnica
kolesar|samostalnik|1|športnik
kolesarka|samostalnik|1|športnica
kotalkar|samostalnik|1|kdor se kotalka
kotalkarica|samostalnik|1|ženska, ki se kotalka
krosist|samostalnik|1|športnik
krosistka|samostalnik|1|športnica
lokostrelka|samostalnik|1|ženska, ki strelja z lokom
maratonka|samostalnik|1|tekačica
motokrosist|samostalnik|1|športnik
motokrosistka|samostalnik|1|športnica
nogometašica|samostalnik|1|športnica
nogometašinja|samostalnik|1|športnica
plavalec|samostalnik|1|kdor plava
plavalec|samostalnik|2|žival, ki plava
plavalka|samostalnik|1|športnica
plesalka|samostalnik|1|ženska, ki pleše
pohodnica|samostalnik|1|ženska, ki hodi za rekreacijo
pohodnik|samostalnik|1|kdor hodi za rekreacijo
potapljač|samostalnik|1|kdor se potaplja
potapljačica|samostalnik|1|ženska, ki se potaplja
ribič|samostalnik|1|kdor lovi ribe
ribička|samostalnik|1|ženska, ki lovi ribe
rokoborec|samostalnik|1|športnik
rokoborka|samostalnik|1|športnica
rolar|samostalnik|1|kdor se vozi z rolerji
rolar|samostalnik|2|športna obutev
rolarka|samostalnik|1|ženska, ki se vozi z rolerji
rolarka|samostalnik|2|športna obutev
rolkarka|samostalnik|1|ženska, ki se vozi z rolko
sabljač|samostalnik|1|kdor sablja
sabljačica|samostalnik|1|ženska, ki sablja
smučarka|samostalnik|1|ženska, ki smuča
smukač|samostalnik|1|športnik
smukačica|samostalnik|1|športnica
šahist|samostalnik|1|igralec šaha
šahistka|samostalnik|1|igralka šaha
športnica|samostalnik|1|ženska, ki se ukvarja s športom
tekačica|samostalnik|1|športnica
triatlonec|samostalnik|1|športnik
triatlonka|samostalnik|1|športnica
ultramaratonka|samostalnik|1|tekačica
veslač|samostalnik|1|kdor vesla
veslačica|samostalnik|1|športnica
žonglerka|samostalnik|1|umetnica metanja predmetov
žonglerka|samostalnik|2|o spretnem ravnanju
atletski|pridevnik|1|o atletiki
atletski|pridevnik|2|športen
gimnastičen|pridevnik|1|o športu
gimnastičen|pridevnik|2|gibalen; telesen;
jahalen|pridevnik|1|o jahanju
jamarski|pridevnik|1|o jamarstvu
nogometaški|pridevnik|1|o nogometu
padalski|pridevnik|1|o športu
padalski|pridevnik|2|o vojaški enoti
plavalen|pridevnik|1|o plavanju
plesen|pridevnik|1|o plesu
plezalen|pridevnik|1|o plezanju
potapljaški|pridevnik|1|o športni aktivnosti
jamarstvo|samostalnik|1|raziskovanje jam
balonar|samostalnik|1|pilot balona
balonar|samostalnik|2|plašč
kikboks|samostalnik|1|borilni šport
jogger|samostalnik|1|rekreativni tekač
gorništvo|samostalnik|1|športna aktivnost
zmajar|samostalnik|1|športnik
ultramaratonec|samostalnik|1|tekač
kotalkanje|samostalnik|1|športna aktivnost
kegljačica|samostalnik|1|športnica
rolkanje|samostalnik|1|športna aktivnost
rolkar|samostalnik|1|kdor se vozi z rolko
herc|samostalnik|1|merska enota
etnocid|samostalnik|1|etnični genocid
etnomuzikolog|samostalnik|1|strokovnjak
flavtistka|samostalnik|1|glasbenica
generalbas|samostalnik|1|basovska melodija
galenit|samostalnik|1|rudnina
fagotist|samostalnik|1|glasbenik
drevesničarstvo|samostalnik|1|gojenje dreves
dudar|samostalnik|1|glasbenik
džoging|samostalnik|1|lahkoten tek
džokej|samostalnik|1|jahač
eksistencialist|samostalnik|1|predstavnik eksistencializma
emisar|samostalnik|1|odposlanec
enoboštvo|samostalnik|1|oblika verovanja
enokrilnik|samostalnik|1|vrsta letala
fotometer|samostalnik|1|merilna naprava
feminist|samostalnik|1|privrženec feminizma
adjektiv|samostalnik|1|besedna vrsta
adoracija|samostalnik|1|čaščenje
aglomerat|samostalnik|1|kamnina
akupunkturist|samostalnik|1|zdravilec
akuzativ|samostalnik|1|sklon
akvarelist|samostalnik|1|umetnik
alegorika|samostalnik|1|o podobah v umetniškem delu
alegoričnost|samostalnik|1|lastnost umetniškega dela
altist|samostalnik|1|pevec
altsaksofon|samostalnik|1|glasbilo
amilaza|samostalnik|1|encim
anabaptist|samostalnik|1|prekrščevalec
anglicizem|samostalnik|1|o izrazu
arabist|samostalnik|1|strokovnjak
arhangel|samostalnik|1|angel
arhitrav|samostalnik|1|antični gradbeni element
arijanstvo|samostalnik|1|krščanski nauk
aristokratka|samostalnik|1|plemkinja
aritmetik|samostalnik|1|strokovnjak
arianizem|samostalnik|1|krščanski nauk
aristokratinja|samostalnik|1|plemkinja
arogantnež|samostalnik|1|aroganten človek
artilerist|samostalnik|1|topničar
arijanec|samostalnik|1|privrženec arijanizma
žonglerstvo|samostalnik|1|fizična veščina ali dejavnost
žužkoslovec|samostalnik|1|strokovnjak
zunajjezikoven|pridevnik|1|nebeseden
abolicionist|samostalnik|1|borec proti sistemu ali praksi
abolicionist|samostalnik|2|o odpravi suženjstva v ZDA
abotnost|samostalnik|1|lastnost
abotnost|samostalnik|2|izjava; ravnanje;
abrakadabra|samostalnik|1|čarovnija
abrakadabra|samostalnik|2|kot izrek
adneks|samostalnik|1|telesni izrastek
adverb|samostalnik|1|besedna vrsta
agronomka|samostalnik|1|strokovnjakinja
alkova|samostalnik|1|vgradni del sobe
amfibol|samostalnik|1|rudnina
animist|samostalnik|1|pripadnik animizma
antifona|samostalnik|1|napev v bogoslužju
antiklinala|samostalnik|1|izbočeni del površja
antikvar|samostalnik|1|trgovec
asignant|samostalnik|1|nakazovalec
zadružnica|samostalnik|1|članica zadruge
zib|samostalnik|1|premik sem in tja
živobarvnost|samostalnik|1|o barvah
živobarvnost|samostalnik|2|o pestrosti
žlebak|samostalnik|1|žlebasta strešna opeka
zobovina|samostalnik|1|osrednje zobno tkivo
zvalnik|samostalnik|1|sklon
žvečilec|samostalnik|1|oseba, ki žveči
žvečilec|samostalnik|2|žvečilni gumi
anemona|samostalnik|1|rastlina
antikviteta|samostalnik|1|starinski predmet
dremanje|samostalnik|1|kratko spanje
apnenčev|pridevnik|1|o apnencu
abdomen|samostalnik|1|del telesa
abdomen|samostalnik|2|pri žuželkah
definicija|samostalnik|1|razlaga; opredelitev;
definicija|samostalnik|2|določitev parametrov
definicija|samostalnik|3|ločljivost
deložacija|samostalnik|1|prisilna izselitev
dežnik|samostalnik|1|kot zaščita pred dežjem
dežnik|samostalnik|2|senčnik
dežnik|samostalnik|3|obrambni sistem
dežnik|samostalnik|4|okrilje
dežnik|samostalnik|5|skupni pojem
dežnik|samostalnik|6|goba
diplomant|samostalnik|1|kdor zaključi študij
dvoumnost|samostalnik|1|nejasnost
dvoumnost|samostalnik|2|dvoličnost
emigracija|samostalnik|1|izseljevanje
emigracija|samostalnik|2|življenje v tujini
emigracija|samostalnik|3|izseljenci
ekolog|samostalnik|1|strokovnjak
grafik|samostalnik|1|izdelovalec grafik
jopica|samostalnik|1|oblačilo
karikatura|samostalnik|1|komična risba
karikatura|samostalnik|2|dejavnost
karikatura|samostalnik|3|popačena različica
katakombe|samostalnik|1|podzemno pokopališče
kaviar|samostalnik|1|jed
kozmetika|samostalnik|1|izdelki
kozmetika|samostalnik|2|dejavnost
kripta|samostalnik|1|grobnica
kurzor|samostalnik|1|kazalec na zaslonu
šivilja|samostalnik|1|ženska, ki šiva oblačila
trenirka|samostalnik|1|oblačilo
trener|samostalnik|1|kdor trenira športnike
uhan|samostalnik|1|nakit
urednik|samostalnik|1|urejevalec besedil
večerja|samostalnik|1|obrok hrane
večerja|samostalnik|2|dogodek
zaliv|samostalnik|1|del morja ali jezera
zborovodja|samostalnik|1|vodja pevskega zbora
arijanizem|samostalnik|1|krščanski nauk
jogging|samostalnik|1|lahkoten tek
jockey|samostalnik|1|jahač
hertz|samostalnik|1|merska enota
cikorija|samostalnik|1|rastlina
cikorija|samostalnik|2|kavni nadomestek
frufru|samostalnik|1|frizura
majorka|samostalnik|1|vojaški čin
martini|samostalnik|1|alkoholna pijača
maslenica|samostalnik|1|rastlina
farmar|samostalnik|1|lastnik farme
jazzist|samostalnik|1|glasbenik
jeklarstvo|samostalnik|1|gospodarska panoga
komunikologija|samostalnik|1|veda o komunikacijskih sredstvih
kortizol|samostalnik|1|hormon
džezist|samostalnik|1|glasbenik
hidrokortizon|samostalnik|1|hormon
apreciacija|samostalnik|1|večanje vrednosti valute
baptisterij|samostalnik|1|krstilnica
baptisterij|samostalnik|2|antični bazen s toplo vodo
frazeologija|samostalnik|1|veda
administratorka|samostalnik|1|uslužbenka v pisarni
administratorka|samostalnik|2|skrbnica spletne strani
dobropis|samostalnik|1|o vračilu denarja
finančnica|samostalnik|1|strokovnjakinja
font|samostalnik|1|pisava
frizerstvo|samostalnik|1|frizerska dejavnost
generalpodpolkovnik|samostalnik|1|čin
sikh|samostalnik|1|pripadnik sikhovske religije
podprsnica|samostalnik|1|jermen
žerka|samostalnik|1|ličinka
bajaničar|samostalnik|1|iskalec stvari
jabolčnik|samostalnik|1|pijača
divjačina|samostalnik|1|meso
divjačina|samostalnik|2|divje živali
ekstremizem|samostalnik|1|fanatizem
ekstremizem|samostalnik|2|v športu
stegnenica|samostalnik|1|kost
toast|samostalnik|1|vrsta kruha
zgodovinar|samostalnik|1|strokovnjak
župan|samostalnik|1|vodja mestne uprave
pozavnistka|samostalnik|1|glasbenica
lutnjarka|samostalnik|1|glasbenica
lokovanje|samostalnik|1|pri godalih
napoleondor|samostalnik|1|francoski zlatnik
trombonistka|samostalnik|1|glasbenica
hipernim|samostalnik|1|o pomenu besede
slovaropisje|samostalnik|1|znanstvena dejavnost
kromiranje|samostalnik|1|kemijski postopek
šestkotnik|samostalnik|1|geometrijski lik
gostiščnica|samostalnik|1|najpogostejša vrednost
kostumografinja|samostalnik|1|strokovnjakinja za oblačila
operand|samostalnik|1|število v matematični operaciji
trilček|samostalnik|1|pojav v skladbi
krekiranje|samostalnik|1|kemijski postopek
leksikologija|samostalnik|1|veda
libretistka|samostalnik|1|piska libreta
pastavek|samostalnik|1|vrsta stavka
podpomenka|samostalnik|1|o pomenu besede
medpona|samostalnik|1|del besede
mimezis|samostalnik|1|o posnemanju stvarnosti
marakas|samostalnik|1|tolkalo
odštevanec|samostalnik|1|število, ki se odšteva
protipomenka|samostalnik|1|o pomenu besede
kognicija|samostalnik|1|spoznavanje; dojemanje;
tritonus|samostalnik|1|o razdalji med tonoma
mehatronika|samostalnik|1|veda
špinet|samostalnik|1|glasbilo
kvintdecima|samostalnik|1|o razdalji med tonoma
lokativ|samostalnik|1|sklon
septima|samostalnik|1|o razdalji med tonoma
kreking|samostalnik|1|kemijski postopek
trasat|samostalnik|1|izdajatelj menice
nadpomenka|samostalnik|1|o pomenu besede
homofonija|samostalnik|1|večglasje
komponistka|samostalnik|1|umetnica
saksofonistka|samostalnik|1|glasbenica
razvezaj|samostalnik|1|glasbeni znak
komutativnost|samostalnik|1|o matematični operaciji
narator|samostalnik|1|pripovedovalec; bralec spremnega teksta;
zaklepišče|samostalnik|1|del strelnega orožja
manioka|samostalnik|1|rastlina
dež|samostalnik|1|padavine
dež|samostalnik|2|velika količina
dijak|samostalnik|1|srednješolec
elektrarna|samostalnik|1|objekt za proizvodnjo elektrike
kavč|samostalnik|1|kos pohištva
kavč|samostalnik|2|pri psihiatru
stevardesa|samostalnik|1|uslužbenka na letalu
vulkan|samostalnik|1|gora, iz katere prodira lava
vulkan|samostalnik|2|nekaj silovitega
džez|samostalnik|1|glasbena zvrst
jazz|samostalnik|1|glasbena zvrst
kenguru|samostalnik|1|vrečar
kenguru|samostalnik|2|za dojenčka
kenguru|samostalnik|3|Avstralec
košarka|samostalnik|1|šport
košarka|samostalnik|2|način igranja
aneroid|samostalnik|1|merilni instrument
filc|samostalnik|1|blago
filolog|samostalnik|1|strokovnjak
depreciacija|samostalnik|1|razvrednotenje
žoga|samostalnik|1|športni rekvizit
žoga|samostalnik|2|podaja; udarec;
polst|samostalnik|1|blago
cerkovnik|samostalnik|1|oskrbnik cerkve
samozavedanje|samostalnik|1|zavedanje samega sebe
carstvo|samostalnik|1|dežela, v kateri vlada car
carstvo|samostalnik|2|cesarstvo; imperij;
carstvo|samostalnik|3|območje prevlade
degustator|samostalnik|1|pokuševalec
cinober|samostalnik|1|opečnato rdeča barva
cinober|samostalnik|2|rudnina
zdravilo|samostalnik|1|snov ali farmacevtski izdelek
zdravilo|samostalnik|2|kar izboljša stanje
maniok|samostalnik|1|rastlina
inkunabula|samostalnik|1|knjiga
kravl|samostalnik|1|pri plavanju
plamenišče|samostalnik|1|o temperaturi
aforizem|samostalnik|1|literarna forma
aliteracija|samostalnik|1|pesniško sredstvo
katarakt|samostalnik|1|brzica
množenec|samostalnik|1|število, ki se množi
azimut|samostalnik|1|o kotu
antisemitizem|samostalnik|1|sovražen odnos do Judov
biosfera|samostalnik|1|območje življenja na Zemlji
besedoslovje|samostalnik|1|raziskovalno področje
stranka|samostalnik|1|politična organizacija
stranka|samostalnik|2|uporabnik storitev
stranka|samostalnik|3|stran v upravno-pravnih postopkih
juha|samostalnik|1|jed
kukavica|samostalnik|1|ptica
kukavica|samostalnik|2|rastlina
kukavica|samostalnik|3|o uri
vizum|samostalnik|1|dokument
rogistka|samostalnik|1|glasbenica
tekstualnost|samostalnik|1|lastnost besedila
rogist|samostalnik|1|glasbenik
sfalerit|samostalnik|1|rudnina
dražba|samostalnik|1|javna prodaja blaga
klient|samostalnik|1|stranka
klient|samostalnik|2|v sodnih postopkih
klient|samostalnik|3|program
slepič|samostalnik|1|organ
jajčnik|samostalnik|1|spolni organ
jajčnik|samostalnik|2|jed
duda|samostalnik|1|pripomoček za dojenčka
duda|samostalnik|2|za pitje
plesalec|samostalnik|1|kdor pleše
ragbi|samostalnik|1|šport
hiperpovezava|samostalnik|1|povezava do spletne strani
čarter|samostalnik|1|najet letalski ali ladijski prevoz
žolčnik|samostalnik|1|organ
želelnik|samostalnik|1|glagolski naklon
fototeka|samostalnik|1|zbirka fotografij
dokumentalist|samostalnik|1|skrbnik za dokumentacijo
trpnik|samostalnik|1|glagolski način
ažio|samostalnik|1|pribitek
denarnica|samostalnik|1|torbica za denar
denarnica|samostalnik|2|količina denarja; premoženje;
zemljanka|samostalnik|1|ženska
zemljanka|samostalnik|2|hiša
pogačica|samostalnik|1|kost
pogačica|samostalnik|2|jed
pogačica|samostalnik|3|rastlina
jogi|samostalnik|1|vzmetnica
jogi|samostalnik|2|mojster joge
trepalnica|samostalnik|1|dlaka
angelika|samostalnik|1|rastlina
centil|samostalnik|1|statistična merska enota
agorafobija|samostalnik|1|strah pred odprtimi prostori
akolit|samostalnik|1|mašni pomočnik
akutnost|samostalnik|1|o bolezni
akutnost|samostalnik|2|resnost; težavnost;
izvleček|samostalnik|1|pridobljena snov; ekstrakt;
izvleček|samostalnik|2|del besedila; izpisek;
izvleček|samostalnik|3|priredba
lajnar|samostalnik|1|glasbenik
mormon|samostalnik|1|pripadnik verske skupnosti
mormon|samostalnik|2|morska ptica
nadjaz|samostalnik|1|o ponotranjenih normah
najemnica|samostalnik|1|ženska, ki kaj najame
najemnica|samostalnik|2|organizacija
pajkice|samostalnik|1|oblačilo
panker|samostalnik|1|glasbenik
panker|samostalnik|2|ljubitelj punk glasbe
pelerina|samostalnik|1|dežno oblačilo
pelerina|samostalnik|2|vrhnje oblačilo
perjad|samostalnik|1|večje domače ali divje ptice
pianino|samostalnik|1|glasbilo
pihalec|samostalnik|1|glasbenik
pihalec|samostalnik|2|steklopihač
plet|samostalnik|1|ogrinjalo
počitnikar|samostalnik|1|dopustnik
počitnikar|samostalnik|2|kdor ima šolske počitnice
scenografka|samostalnik|1|oblikovalka scene
debater|samostalnik|1|človek, ki se ukvarja z debatiranjem
debater|samostalnik|2|razpravljavec
jestvina|samostalnik|1|prehrambeni izdelek
juta|samostalnik|1|material
kahlica|samostalnik|1|otroško stranišče
scenografinja|samostalnik|1|oblikovalka scene
ambrozija|samostalnik|1|rod cvetnic
ambrozija|samostalnik|2|hrana bogov
hornistka|samostalnik|1|glasbenica
fagotistka|samostalnik|1|glasbenica
klarinetistka|samostalnik|1|glasbenica
muzikologinja|samostalnik|1|strokovnjakinja
enakozvočnica|samostalnik|1|o zvoku besede
živina|samostalnik|1|govedo
živina|samostalnik|2|pomemben človek
navijalka|samostalnik|1|pripomoček za lase
pastorka|samostalnik|1|hči partnerja
pastorka|samostalnik|2|kar je zapostavljeno
pastorka|samostalnik|3|duhovnica
pomfrit|samostalnik|1|jed
simptomatičen|pridevnik|1|značilen
simptomatičen|pridevnik|2|glede na simptome
varčevalec|samostalnik|1|oseba, ki varčuje
sintaksa|samostalnik|1|o jezikovnem sistemu
sintaksa|samostalnik|2|o programskih jezikih
sintaksa|samostalnik|3|o umetniških stvaritvah
sklicatelj|samostalnik|1|pobudnik; organizator;
slabič|samostalnik|1|psihično šibka oseba
slabič|samostalnik|2|o fizični zmogljivosti
blokflavta|samostalnik|1|pihalo
blokflavta|samostalnik|2|igranje blokflavte
analognost|samostalnik|1|o podatkih
analognost|samostalnik|2|podobnost
babura|samostalnik|1|ženska
babura|samostalnik|2|vrsta paprike
arzenov|pridevnik|1|o arzenu
anketar|samostalnik|1|kdor anketira
ragu|samostalnik|1|jed
nuklearka|samostalnik|1|vrsta elektroenergetskega objekta
koplanarnost|samostalnik|1|geometrijska značilnost
bižuterija|samostalnik|1|cenen nakit
bižuterija|samostalnik|2|trgovina
oboistka|samostalnik|1|glasbenica
šepetalka|samostalnik|1|funkcija v gledališču
oboist|samostalnik|1|glasbenik
sukulenta|samostalnik|1|rastlina
bantam|samostalnik|1|borilna veščina
bantam|samostalnik|2|pasma kokoši
akut|samostalnik|1|naglasno znamenje
kašmir|samostalnik|1|tkanina
ostrivec|samostalnik|1|naglasno znamenje
dvoglasnik|samostalnik|1|glasovna enota
dialektologija|samostalnik|1|veda
glagolnik|samostalnik|1|glagolska oblika
klarinetist|samostalnik|1|glasbenik
eksosfera|samostalnik|1|zunanja plast atmosfere
anglikanec|samostalnik|1|pripadnik anglikanske vere
anglikanka|samostalnik|1|pripadnica anglikanske vere
biografinja|samostalnik|1|avtorica biografij
narečjeslovje|samostalnik|1|veda
gerundij|samostalnik|1|glagolska oblika
diftong|samostalnik|1|glasovna enota
harmonij|samostalnik|1|glasbilo
gokart|samostalnik|1|majhen dirkalni avto
gokart|samostalnik|2|dirkanje z majhnimi avti
modrček|samostalnik|1|žensko spodnje perilo
abdominalen|pridevnik|1|trebušen
življenjepisen|pridevnik|1|o življenjepisu
veterinar|samostalnik|1|zdravnik za živali
zborovodkinja|samostalnik|1|vodja pevskega zbora
živilo|samostalnik|1|prehrambeni izdelek
župnik|samostalnik|1|predstojnik cerkvene skupnosti
sfinga|samostalnik|1|kip
sfinga|samostalnik|2|egipčansko bajeslovno bitje
sfinga|samostalnik|3|grško bajeslovno bitje
sfinga|samostalnik|4|vrsta mačke
skepticizem|samostalnik|1|dvom
skepticizem|samostalnik|2|skepsa
špecerist|samostalnik|1|trgovec
obritoglavec|samostalnik|1|pripadnik subkulture
življenjepisec|samostalnik|1|avtor življenjepisov
osnovnik|samostalnik|1|oblika pridevnika ali prislova
sedemdesetletnica|samostalnik|1|sedemdeseta obletnica
sedemdesetletnica|samostalnik|2|sedemdesetletna ženska
sedemdesetletnica|samostalnik|3|ženska, stara med 70 in 79 let
mežnar|samostalnik|1|oskrbnik cerkve
violončelistka|samostalnik|1|glasbenica
anglist|samostalnik|1|strokovnjak
anglistka|samostalnik|1|strokovnjakinja
čekan|samostalnik|1|zob pri živalih
čekan|samostalnik|2|podaljšani podočniki pri živalih
želodec|samostalnik|1|organ
želodec|samostalnik|2|jed
želodec|samostalnik|3|o ljudeh
žuborenje|samostalnik|1|o vodi
žuborenje|samostalnik|2|o neizrazitih glasovih
ječar|samostalnik|1|paznik v zaporu
komponist|samostalnik|1|umetnik
ameba|samostalnik|1|enoceličar
antisemit|samostalnik|1|privrženec antisemitizma
anemometer|samostalnik|1|merilni instrument
avtoštopar|samostalnik|1|o zastonj prevozu
bahač|samostalnik|1|kdor se baha
bakteriolog|samostalnik|1|strokovnjak
banjo|samostalnik|1|brenkalo
binkošti|samostalnik|1|krščanski praznik
birmanec|samostalnik|1|kdor prejme birmo
brzinomer|samostalnik|1|merilna naprava
čeljustnica|samostalnik|1|kost
debet|samostalnik|1|dolg
dekodirnik|samostalnik|1|naprava za dekodiranje
derač|samostalnik|1|zob
diadem|samostalnik|1|naglavni obroč ali trak
habit|samostalnik|1|oblačilo
čudnost|samostalnik|1|nenavadnost
bukolika|samostalnik|1|pastirska poezija
bordun|samostalnik|1|spremljevalni ton
anafora|samostalnik|1|besedna figura
čelesta|samostalnik|1|glasbilo
atonalnost|samostalnik|1|o tonskem načinu
cinabarit|samostalnik|1|rudnina
bendžo|samostalnik|1|brenkalo
abstinentka|samostalnik|1|ženska, ki ne pije alkohola
adrema|samostalnik|1|seznam naslovnikov z naslovi
adular|samostalnik|1|rudnina
alkalnost|samostalnik|1|lastnost snovi
avtostopar|samostalnik|1|o zastonj prevozu
celesta|samostalnik|1|glasbilo
levkocit|samostalnik|1|krvna celica
večzložnica|samostalnik|1|o besedi
albin|samostalnik|1|o pomanjkanju pigmenta
armafleks|samostalnik|1|ležalna podloga
akvedukt|samostalnik|1|objekt za pretok vode
plezalka|samostalnik|1|športnica
plezalka|samostalnik|2|žival
plezalka|samostalnik|3|rastlina
plezalka|samostalnik|4|športna obutev
čembalist|samostalnik|1|glasbenik
epigrafika|samostalnik|1|veda
dodekaeder|samostalnik|1|geometrijsko telo
impresionistka|samostalnik|1|predstavnica impresionizma
lizingodajalec|samostalnik|1|kdor daje lizing
okoljevarstvo|samostalnik|1|skrb za okolje
harfistka|samostalnik|1|glasbenica
dirigentka|samostalnik|1|vodja orkestra
dirigentka|samostalnik|2|vodja
glikogen|samostalnik|1|polisaharid
kitaristka|samostalnik|1|glasbenica
dialektolog|samostalnik|1|strokovnjak
medbesedilnost|samostalnik|1|lastnost besedila
