iztočnica|besedna vrsta|številka pomena|indikator
dimlje|samostalnik|1|del telesa
petelinček|samostalnik|1|manjši petelin
petelinček|samostalnik|2|predmet
petelinček|samostalnik|3|napihnjen človek
petelinček|samostalnik|4|metulj
petelinček|samostalnik|5|cvetlica
petelinček|samostalnik|6|športna igra
petelinček|samostalnik|7|o zavezovanju peče
petelinček|samostalnik|8|frizura
griža|samostalnik|1|črevesna bolezen
griža|samostalnik|2|siten človek
limonada|samostalnik|1|pijača
limonada|samostalnik|2|televizijska nadaljevanka
limonada|samostalnik|3|kar je vsebinsko prazno
telegraf|samostalnik|1|naprava
telegraf|samostalnik|2|urad
dvanajsterec|samostalnik|1|geometrijsko telo
dvanajsterec|samostalnik|2|verz
štručka|samostalnik|1|pekovsko pecivo
štručka|samostalnik|2|dojenček
začaran|pridevnik|1|pod vplivom čarobnega uroka
začaran|pridevnik|2|očaran; prevzet;
začaran|pridevnik|3|čarobno lep
začaran|pridevnik|4|neugoden
začaran|pridevnik|5|o brezizhodnosti
pisniti|glagol|1|izdati informacijo
pisniti|glagol|2|izpustiti zvok
pijanček|samostalnik|1|kdor rad popiva
plinar|samostalnik|1|igralec Geoplina Slovana
plinar|samostalnik|2|podjetje
plinar|samostalnik|3|delavec v plinarni
dingo|samostalnik|1|žival
nezavesten|pridevnik|1|v nezavesti
nezavesten|pridevnik|2|nezaveden; nenameren;
nezavesten|pridevnik|3|nezavestna oseba
piranha|samostalnik|1|riba
kovanec|samostalnik|1|kovan denar
svetovalec|samostalnik|1|poklic
dvojček|samostalnik|1|otrok
dvojček|samostalnik|2|astrološko znamenje
dvojček|samostalnik|3|hiša
dvojček|samostalnik|4|nebotičnik
dvojček|samostalnik|5|telekomunikacijski paket
dvojček|samostalnik|6|v košarki
dvojček|samostalnik|7|dve povezani zadevi
dvojček|samostalnik|8|o podobnosti nečesa
dvojček|samostalnik|9|o kristalu
dvojček|samostalnik|10|o telefonski liniji
funkcionalen|pridevnik|1|uporaben
funkcionalen|pridevnik|2|o delovanju organizma
funkcionalen|pridevnik|3|delujoč
opazovati|glagol|1|gledati
opazovati|glagol|2|spremljati potek ali razvoj
bik|samostalnik|1|žival
bik|samostalnik|2|astrološko znamenje
bik|samostalnik|3|neumen človek
bik|samostalnik|4|veliko zvišanje tečajev
pristanišče|samostalnik|1|luka
pristanišče|samostalnik|2|letališče
obala|samostalnik|1|pas zemlje ob vodi
plešast|pridevnik|1|brez las
plešast|pridevnik|2|o površini
prehlad|samostalnik|1|bolezen
prehlad|samostalnik|2|v botaniki
priseljenec|samostalnik|1|imigrant
prognoza|samostalnik|1|napoved
prognoza|samostalnik|2|v medicini
sir|samostalnik|1|mlečni izdelek
sir|samostalnik|2|angleški plemiški naziv
stereotip|samostalnik|1|o vnaprejšnji sodbi
stereotip|samostalnik|2|o osebi
stereotip|samostalnik|3|tiskovna forma
škof|samostalnik|1|cerkveni dostojanstvenik
terorist|samostalnik|1|politični skrajnež
terorist|samostalnik|2|ustrahovalec
trening|samostalnik|1|o športu
trening|samostalnik|2|o spretnosti ali veščini
financiranje|samostalnik|1|zagotavljanje denarnih sredstev
fotografija|samostalnik|1|fotografski posnetek
fotografija|samostalnik|2|dejavnost
globalen|pridevnik|1|o svetu kot povezani celoti
globalen|pridevnik|2|o segrevanju Zemlje
globalen|pridevnik|3|celostni
grad|samostalnik|1|utrdba
grad|samostalnik|2|kar ima obliko gradu
grad|samostalnik|3|veliko bivališče
hierarhija|samostalnik|1|razvrstitev po položaju ali funkciji
hierarhija|samostalnik|2|vodstvo organizacije
hierarhija|samostalnik|3|razvrstitev česa po pomembnosti
hierarhija|samostalnik|4|o organiziranosti elementov
hierarhija|samostalnik|5|sistem redov angelov
humanitaren|pridevnik|1|človekoljuben
humanitaren|pridevnik|2|o stiski ljudi
istočasno|prislov|1|hkrati; sočasno;
istočasno|prislov|2|uvaja dodatno dejstvo ali nasprotje
izrecno|prislov|1|jasno
izrecno|prislov|2|izključno
nosečnost|samostalnik|1|telesno stanje
